Lfd. Nummer;Name des Flughafens;Ort;Land;IATA;ICAO;Latitude;Longitude;Altitude;Zeitzone;DST;Zeitzonen-Datenbank;geo_punkt
4012;Naples Municipal Airport;Naples;United States;APF;KAPF;26.1525993347;-81.7752990723;2;-5.0;A;America/New_York;26.1525993347, -81.7752990723
4014;Louisville International Standiford Field;Louisville;United States;SDF;KSDF;38.1744;-85.736;153;-5.0;A;America/New_York;38.1744, -85.736
4015;Charlottesville Albemarle Airport;Charlottesville VA;United States;CHO;KCHO;38.13859939575195;-78.4529037475586;195;-5.0;A;America/New_York;38.13859939575195, -78.4529037475586
4017;Blue Grass Airport;Lexington KY;United States;LEX;KLEX;38.0364990234375;-84.60590362548828;298;-5.0;A;America/New_York;38.0364990234375, -84.60590362548828
4021;Billings Logan International Airport;Billings;United States;BIL;KBIL;45.807701110839844;-108.54299926757812;1113;-7.0;A;America/Denver;45.807701110839844, -108.54299926757812
4024;Mundo Maya International Airport;Flores;Guatemala;FRS;MGTK;16.913799285899998;-89.86640167239999;130;-6.0;U;America/Guatemala;16.913799285899998, -89.86640167239999
4027;Jackson Hole Airport;Jacksn Hole;United States;JAC;KJAC;43.6072998046875;-110.73799896240234;1966;-7.0;A;America/Denver;43.6072998046875, -110.73799896240234
4029;Domodedovo International Airport;Moscow;Russia;DME;UUDD;55.40879821777344;37.90629959106445;179;3.0;N;Europe/Moscow;55.40879821777344, 37.90629959106445
4030;Sanya Phoenix International Airport;Sanya;China;SYX;ZJSY;18.302900314331055;109.41200256347656;28;8.0;U;Asia/Shanghai;18.302900314331055, 109.41200256347656
4038;Gulfport Biloxi International Airport;Gulfport;United States;GPT;KGPT;30.40730094909668;-89.07009887695312;9;-6.0;A;America/Chicago;30.40730094909668, -89.07009887695312
4042;Decatur Airport;Decatur;United States;DEC;KDEC;39.834598541259766;-88.8656997680664;208;-6.0;A;America/Chicago;39.834598541259766, -88.8656997680664
4043;The Eastern Iowa Airport;Cedar Rapids;United States;CID;KCID;41.884700775146484;-91.71080017089844;265;-6.0;A;America/Chicago;41.884700775146484, -91.71080017089844
4046;General Wayne A. Downing Peoria International Airport;Peoria;United States;PIA;KPIA;40.664199829100006;-89.6932983398;201;-6.0;A;America/Chicago;40.664199829100006, -89.6932983398
4050;Manhattan Regional Airport;Manhattan;United States;MHK;KMHK;39.14099884033203;-96.6707992553711;322;-6.0;A;America/Chicago;39.14099884033203, -96.6707992553711
4051;Kingscote Airport;Kingscote;Australia;KGC;YKSC;-35.71390151977539;137.52099609375;7;9.5;O;Australia/Adelaide;-35.71390151977539, 137.52099609375
4054;Dali Airport;Dali;China;DLU;ZPDL;25.649401;100.319;2149;8.0;U;Asia/Shanghai;25.649401, 100.319
4056;Mulu Airport;Mulu;Malaysia;MZV;WBMU;4.048329830169678;114.80500030517578;24;8.0;N;Asia/Kuala_Lumpur;4.048329830169678, 114.80500030517578
4057;Sharm El Sheikh International Airport;Sharm El Sheikh;Egypt;SSH;HESH;27.9773006439;34.3950004578;44;2.0;N;Africa/Cairo;27.9773006439, 34.3950004578
4071;Van Nuys Airport;Van Nuys;United States;VNY;KVNY;34.209800720215;-118.48999786377;244;-8.0;A;America/Los_Angeles;34.209800720215, -118.48999786377
4074;Honiara International Airport;Honiara;Solomon Islands;HIR;AGGH;-9.4280004501343;160.05499267578;9;11.0;U;Pacific/Guadalcanal;-9.4280004501343, 160.05499267578
