lfd_nr;stadtteil;standort;baumart_botanisch;baumart_deutsch;id;baumfamilie
23229;Hammfeld;Carl-Schurz-Str. 2;Quercus petraea;Eiche, Trauben;51.1959, 6.71298;Eiche
23230;Hammfeld;Carl-Schurz-Str. 2;Quercus petraea;Eiche, Trauben;51.1959, 6.71309;Eiche
23233;Hammfeld;Carl-Schurz-Str. 5;Quercus petraea;Eiche, Trauben;51.1946, 6.71386;Eiche
23236;Hammfeld;Carl-Schurz-Str. 7;Quercus petraea;Eiche, Trauben;51.1936, 6.71366;Eiche
23196;Grimlinghausen;An der Eiche 31;Quercus petraea;Eiche, Trauben;51.1755, 6.74077;Eiche
23194;Grimlinghausen;Am Röttgen 86/102 dahinter;Carpinus betulus;Hainbuche;51.1785, 6.7515;Hainbuche
23179;Gnadental;Kölner Str. Ecke Humboldstr.;Tilia tomentosa;Linde, Silber;51.1839, 6.72205;Linde
23181;Gnadental;Haselweg KSP Grünzug;Gymnocladus diocus;Geweihbaum;51.1772, 6.71915;Geweihbaum
23282;Reuschenberg;Linneplatz 9/10 ggb.;Juglans regia;Nuss, Wal;51.1693, 6.69772;Nuss
23285;Reuschenberg;Aurinstr. 4/6 ggb.;Styphnolobium japonicum;Schnurbaum;51.1688, 6.69521;Schnurbaum
23286;Reuschenberg;Aurinstr. 4/6 ggb.;Styphnolobium japonicum;Schnurbaum;51.1687, 6.69503;Schnurbaum
23288;Reuschenberg;Aurinstr. 6;Alnus spaethii;Erle, Purpur;51.1688, 6.69484;Erle
23289;Reuschenberg;Aurinstr. 6;Alnus spaethii;Erle, Purpur;51.1686, 6.69461;Erle
23297;Reuschenberg;Nierenhofstr. 3/5;Quercus pubescens;Eiche, Flaum;51.1672, 6.6861;Eiche
23300;Reuschenberg;Finkenstr. 7/9;Ulmus hollandica 'Lobel';Ulme, Stadt;51.1655, 6.68209;Ulme
23248;Holzheim;Reuschenberger Str. 82;Ulmus hollandica 'Lobel';Ulme, Stadt;51.1614, 6.67526;Ulme
23267;Norf-Derikum;Aggerstr. Abzw. An der Norf;Liquidambar styraciflua;Amberbaum;51.165, 6.73241;Amberbaum
23264;Norf-Derikum;Ruhrstr. ggb. Abzw. Borsigstr.;Alnus cordata;Erle, Italienische;51.1575, 6.74275;Erle
23266;Norf-Derikum;Weserstr. Ecke Ruhrstr.;Alnus cordata;Erle, Italienische;51.1607, 6.7388;Erle
23312;Stadionviertel;Im Jagdfeld 12;Acer freemanii 'Scarlet Sentinel';Ahorn, Rot;51.1897, 6.67715;Ahorn
23315;Stadionviertel;Glehner Weg 85 nebenan;Tilia europaea 'Pallida';Linde, Kaiser;51.1943, 6.6667;Linde
23318;Stadionviertel;Konrad-Adenauer-Ring 29;Alnus cordata;Erle, Italienische;51.1968, 6.66683;Erle
23319;Stadionviertel;Pskowstr. 15 ggb.;Acer freemanii 'Scarlet Sentinel';Ahorn, Rot;51.1983, 6.66001;Ahorn
