Lfd. Nummer,Name des Flughafens,Ort,Land,IATA,ICAO,Latitude,Longitude,Altitude,Zeitzone,DST,Zeitzonen-Datenbank,geo_punkt,
7494,Rock Hill - York County Airport,Rock Hill,United States,RKH,KUZA,34.9878006,-81.05719757,203,-5,A,America/New_York,34.9878006,-81.05719757
7497,Fulton County Airport Brown Field,Atlanta,United States,FTY,KFTY,33.77909851,-84.52140045,256,-5,A,America/New_York,33.77909851,-84.52140045
7501,Chakcharan Airport,Chaghcharan,Afghanistan,CCN,OACC,34.53300095,65.26699829,2250,4.5,U,Asia/Kabul,34.53300095,65.26699829
7503,Fuyang Xiguan Airport,Fuyang,China,FUG,ZSFY,32.882157,115.734364,32,8,U,Asia/Shanghai,32.882157,115.734364
7506,Xingyi Airport,Xingyi,China,ACX,ZUYI,25.08638889,104.9594444,1265,8,U,Asia/Shanghai,25.08638889,104.9594444
7510,Stepanakert Air Base,Stepanakert,Azerbaijan,0,UB13,39.90140152,46.78699875,610,4,E,Asia/Baku,39.90140152,46.78699875
7511,The Ohio State University Airport - Don Scott Field,Columbus,United States,OSU,KOSU,40.0798,-83.072998,276,-5,U,America/New_York,40.0798,-83.072998
7514,Destin Executive Airport,Destin,United States,DSI,KDTS,30.40010071,-86.47149658,7,-6,A,America/Chicago,30.40010071,-86.47149658
7517,Ryan's Creek Aerodrome,Stewart Island,New Zealand,SZS,NZRC,-46.8997,168.100998,19,12,U,Pacific/Auckland,-46.8997,168.100998
7518,Assumption Island Airport,Assumption Island,Seychelles,0,FSAS,-9.742219999,46.506802,3,4,U,Indian/Mahe,-9.742219999,46.506802
7522,Kinston Regional Jetport At Stallings Field,Kinston,United States,ISO,KISO,35.33140183,-77.6088028,28,-5,A,America/New_York,35.33140183,-77.6088028
7527,Lintsang Airfield,Lincang,China,LNJ,ZPLC,23.73810005,100.0250015,1899,8,U,Asia/Shanghai,23.73810005,100.0250015
7531,Maturacá Airport,Maturaca,Brazil,0,SWMK,0.628269017,-66.11509705,108,-4,S,America/Boa_Vista,0.628269017,-66.11509705
7536,Tarempa Airport,Anambas Islands,Indonesia,MWK,WIOM,3.348119974,106.2580032,3,7,N,Asia/Jakarta,3.348119974,106.2580032
7546,Persian Gulf International Airport,Khalije Fars,Iran,PGU,OIBP,27.379601,52.737701,8,3.5,U,Asia/Tehran,27.379601,52.737701
7548,Mosul International Airport,Mosul,Iraq,OSM,ORBM,36.305801,43.1474,219,3,U,Asia/Baghdad,36.305801,43.1474
7549,Tajima Airport,Toyooka,Japan,TJH,RJBT,35.51279831,134.7870026,178,9,U,Asia/Tokyo,35.51279831,134.7870026
